"","lon","lat"
"2",125.887188085,8.109354998
"5",126.511338085,7.667864998
"8",124.373838085,7.626214998
"21",125.066388085,8.225974998
"24",126.271938085,8.359254998
"34",124.758588085,7.942754998
"35",125.998338085,7.667864998
"56",124.040388085,7.051444998
"58",124.108788085,7.809474998
"61",124.433688085,6.468344998
"65",124.561938085,7.018124998
"67",125.254488085,6.376714998
"69",124.758588085,8.109354998
"74",125.151888085,6.093494998
"75",125.673438085,9.092294998
"78",124.707288085,6.176794998
"79",124.390938085,7.259694998
"85",126.323238085,8.459214998
"93",124.630338085,7.692854998
"98",125.519538085,5.935224998
